epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,493.905,1.07798,0.6512,1.0366,0.86152,0.81353,0.86508,0.55462,1.17537,0.62822,1.06805,0.0005546,0.0005546,0.0005546
75,500.398,1.07708,0.64674,1.04135,0.85805,0.81256,0.8648,0.50829,1.25702,0.65634,1.11485,0.0005348,0.0005348,0.0005348
76,506.917,1.06251,0.64179,1.03588,0.84354,0.82705,0.87507,0.52414,1.24786,0.66506,1.10176,0.000515,0.000515,0.000515
77,513.436,1.06836,0.63542,1.03489,0.84589,0.82705,0.87085,0.56351,1.19037,0.64969,1.06863,0.0004952,0.0004952,0.0004952
78,520.007,1.08299,0.65051,1.03776,0.86849,0.80395,0.87109,0.51182,1.27959,0.65649,1.11466,0.0004754,0.0004754,0.0004754
79,526.681,1.06199,0.63349,1.02811,0.86402,0.78647,0.85707,0.49563,1.28292,0.6783,1.1164,0.0004556,0.0004556,0.0004556
80,533.154,1.05307,0.62805,1.03094,0.85861,0.82142,0.8597,0.53417,1.22761,0.64968,1.09892,0.0004358,0.0004358,0.0004358
81,539.694,1.05449,0.62898,1.0282,0.86114,0.79614,0.85559,0.49504,1.2484,0.65805,1.11056,0.000416,0.000416,0.000416
82,546.201,1.06293,0.63361,1.03676,0.86423,0.81178,0.85585,0.5244,1.23819,0.66394,1.09867,0.0003962,0.0003962,0.0003962
83,552.7,1.04617,0.62697,1.02391,0.83546,0.81739,0.8699,0.54057,1.23633,0.67242,1.09945,0.0003764,0.0003764,0.0003764
84,559.37,1.04131,0.61944,1.02308,0.87376,0.80773,0.86841,0.52473,1.26175,0.6707,1.09874,0.0003566,0.0003566,0.0003566
85,565.853,1.03216,0.61633,1.02195,0.87074,0.82415,0.8675,0.53557,1.2174,0.6535,1.08871,0.0003368,0.0003368,0.0003368
86,572.353,1.04174,0.61542,1.02574,0.84502,0.82899,0.87206,0.51778,1.26921,0.67179,1.1175,0.000317,0.000317,0.000317
87,578.854,1.04035,0.61602,1.02175,0.83259,0.83612,0.86653,0.52017,1.26471,0.65948,1.11631,0.0002972,0.0002972,0.0002972
88,585.457,1.0446,0.62055,1.02156,0.85689,0.82609,0.86792,0.53253,1.22872,0.63938,1.09491,0.0002774,0.0002774,0.0002774
89,592.131,1.02725,0.61359,1.01705,0.86873,0.81207,0.85622,0.52336,1.2749,0.66334,1.11681,0.0002576,0.0002576,0.0002576
90,598.677,1.02827,0.6179,1.01762,0.85182,0.82754,0.87266,0.53383,1.23392,0.66768,1.09545,0.0002378,0.0002378,0.0002378
91,606.567,1.01176,0.60107,1.00919,0.85195,0.82995,0.86464,0.52219,1.23011,0.67306,1.09866,0.000218,0.000218,0.000218
92,612.99,0.97421,0.57058,1.00028,0.84248,0.83478,0.8683,0.52628,1.23433,0.67227,1.10309,0.0001982,0.0001982,0.0001982
93,619.858,0.96831,0.56168,0.99635,0.8719,0.80483,0.87179,0.52978,1.23196,0.67939,1.10321,0.0001784,0.0001784,0.0001784
94,626.695,0.95687,0.55753,0.98745,0.83643,0.83768,0.87218,0.52105,1.2496,0.65241,1.11223,0.0001586,0.0001586,0.0001586
95,633.289,0.95041,0.55455,0.99131,0.84882,0.82996,0.87668,0.54039,1.24043,0.66092,1.1048,0.0001388,0.0001388,0.0001388
96,639.809,0.95045,0.55431,0.98562,0.86719,0.8201,0.87358,0.54639,1.2218,0.64977,1.0904,0.000119,0.000119,0.000119
97,646.547,0.95081,0.54834,0.98548,0.87268,0.81353,0.87154,0.5383,1.20981,0.64216,1.08963,9.92e-05,9.92e-05,9.92e-05
98,653.09,0.9383,0.54525,0.98519,0.8433,0.84756,0.87504,0.53653,1.23161,0.64158,1.10265,7.94e-05,7.94e-05,7.94e-05
99,659.706,0.94077,0.54655,0.98918,0.85599,0.83285,0.8743,0.54078,1.22743,0.65262,1.09775,5.96e-05,5.96e-05,5.96e-05
100,666.186,0.93852,0.54243,0.9786,0.8599,0.81835,0.87465,0.54528,1.21108,0.64789,1.08737,3.98e-05,3.98e-05,3.98e-05
